,Access to Medical Care,Civil Liberties,Civil Unrest,Conflict or Warfare,Crime,Cybersecurity,Infectious Diseases,Kidnapping or Hostage Taking,Natural Disasters,Terrorism,Wrongful Detention,Risk Tier,Risk Tier Meaning,Common Name,Risk Factors,Access to medical care,Civil liberties,Civil unrest,Conflict or warfare,Crime,Cybersecurity,Infectious diseases,Kidnapping or hostage taking,Natural disasters,Terrorism,Wrongful detention
Aruba,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Aruba,None,Access to medical care is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Aruba. Travelers should take normal precautions.
Australia,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Australia,None,Access to medical care is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Australia. Travelers should take normal precautions.
Austria,0,0,0,0,0,0,1,0,0,0,0,1,Standard,Austria,Infectious Diseases,Access to medical care is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Austria. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Austria. Travelers should take normal precautions.
Azerbaijan,1,1,0,1,0,1,1,0,0,1,0,3,Elevated,Azerbaijan,"Access to Medical Care, Civil Liberties, Conflict or Warfare, Cybersecurity, Infectious Diseases, Terrorism",Access to medical care is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Azerbaijan. Travelers should take normal precautions.,Conflict or warfare is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Crime is not normally a key risk consideration when traveling to Azerbaijan. Travelers should take normal precautions.,Cybersecurity is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Azerbaijan. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Azerbaijan. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Azerbaijan. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Azerbaijan. Travelers should take normal precautions.
The Bahamas,0,0,0,0,1,0,0,0,0,0,0,1,Standard,The Bahamas,Crime,Access to medical care is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to The Bahamas. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to The Bahamas. Travelers should take normal precautions.
Bahrain,1,1,0,0,0,1,0,0,0,1,0,1,Standard,Bahrain,"Access to Medical Care, Civil Liberties, Cybersecurity, Terrorism",Access to medical care is a key risk consideration when traveling to Bahrain. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Bahrain. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Cybersecurity is a key risk consideration when traveling to Bahrain. Travelers should take enhanced precautions.,Infectious diseases is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Bahrain. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Bahrain. Travelers should take normal precautions.
Bangladesh,1,1,1,0,1,0,0,1,0,1,0,4,Sustained,Bangladesh,"Access to Medical Care, Civil Liberties, Civil Unrest, Crime, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Bangladesh. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Bangladesh. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Bangladesh. Travelers should take normal precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Bangladesh. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Bangladesh. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Bangladesh. Travelers should take normal precautions.
Barbados,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Barbados,None,Access to medical care is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Barbados. Travelers should take normal precautions.
Belarus,0,1,1,1,1,1,1,0,0,0,0,5,High,Belarus,"Civil Liberties, Civil Unrest, Conflict or Warfare, Crime, Cybersecurity, Infectious Diseases",Access to medical care is not normally a key risk consideration when traveling to Belarus. Travelers should take normal precautions.,Civil liberties is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Civil unrest is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Conflict or warfare is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Crime is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Cybersecurity is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Infectious diseases is a key risk consideration when traveling to Belarus. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Belarus. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Belarus. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Belarus. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Belarus. Travelers should take normal precautions.
Belgium,0,0,0,0,0,0,1,0,0,1,0,1,Standard,Belgium,"Infectious Diseases, Terrorism",Access to medical care is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Belgium. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Belgium. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Belgium. Travelers should take normal precautions.
Belize,1,0,0,0,1,0,0,0,0,0,0,2,Moderate,Belize,"Access to Medical Care, Crime",Access to medical care is a key risk consideration when traveling to Belize. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Belize. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Belize. Travelers should take normal precautions.
Benin,1,1,0,0,1,0,1,1,0,1,0,3,Elevated,Benin,"Access to Medical Care, Civil Liberties, Crime, Infectious Diseases, Kidnapping or Hostage Taking, Terrorism",Access to medical care is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Civil liberties is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Civil unrest is not normally a key risk consideration when traveling to Benin. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Benin. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Benin. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Kidnapping or hostage taking is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Natural disasters is not normally a key risk consideration when traveling to Benin. Travelers should take normal precautions.,Terrorism is a key risk consideration when traveling to Benin. Travelers should take enhanced precautions.,Wrongful detention is not normally a key risk consideration when traveling to Benin. Travelers should take normal precautions.
Bermuda,0,0,0,0,0,0,0,0,0,0,0,1,Standard,Bermuda,None,Access to medical care is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Civil liberties is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Bermuda. Travelers should take normal precautions.
Bhutan,1,0,0,0,0,0,0,0,0,0,0,1,Standard,Bhutan,Access to Medical Care,Access to medical care is a key risk consideration when traveling to Bhutan. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Civil unrest is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Crime is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Cybersecurity is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Infectious diseases is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Bhutan. Travelers should take normal precautions.
Bolivia,1,0,1,0,1,0,1,0,0,0,0,3,Elevated,Bolivia,"Access to Medical Care, Civil Unrest, Crime, Infectious Diseases",Access to medical care is a key risk consideration when traveling to Bolivia. Travelers should take enhanced precautions.,Civil liberties is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Civil unrest is a key risk consideration when traveling to Bolivia. Travelers should take enhanced precautions.,Conflict or warfare is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Crime is a key risk consideration when traveling to Bolivia. Travelers should take enhanced precautions.,Cybersecurity is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Infectious diseases is a key risk consideration when traveling to Bolivia. Travelers should take enhanced precautions.,Kidnapping or hostage taking is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Natural disasters is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Terrorism is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.,Wrongful detention is not normally a key risk consideration when traveling to Bolivia. Travelers should take normal precautions.
"Bonaire, Saba, and Sint Eustatius",1,0,0,0,0,0,0,0,0,0,0,1,Standard,"Bonaire, Saba, and Sint Eustatius",Access to Medical Care,"Access to medical care is a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take enhanced precautions.","Civil liberties is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Civil unrest is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Conflict or warfare is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Crime is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Cybersecurity is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Infectious diseases is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Kidnapping or hostage taking is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Natural disasters is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Terrorism is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions.","Wrongful detention is not normally a key risk consideration when traveling to Bonaire, Saba, and Sint Eustatius. Travelers should take normal precautions."
